,created_at,user_id,username,tweet,english
10,2021-02-27 08:40:27 SE Asia Standard Time,65245716,renoyuuki,"Nawarin harga paket Rp 10, kenyataannya pulsa utama 35rb ludes. Dasar bodoh #telkomsel","Nawarin package price of Rp 10, the main pulse 35rb fact sold out. You idiot #telkomsel"
11,2021-02-27 08:06:12 SE Asia Standard Time,1267147855728242689,ctofficialstore,PAKET KUOTA TELKOMSEL HARGA TERJANGKAU. DM UNTUK PRICELIST!,QUOTAS PACKAGE TELKOMSEL AFFORDABLE PRICE. DM FOR pricelist!
12,2021-02-27 06:50:44 SE Asia Standard Time,3316865436,yrr1995,"Permisi, izin promosi yaa?  📲 OPEN ORDER Telkomsel, IM3 Ooredoo(Indosat) XL, Axis,Tri, Smartfren, Token PLN dll. ✅Fast respon ✅Trusted Payment: 💳BRI ➡OVO 🆙Cek harga dibawah 📲Contact: 0821 5468 28 22  https://t.co/8BgzUPzYbE","Excuse me, clearance sale yaa? OPEN ORDER 📲 Telkomsel, IM3 Ooredoo (Indosat) XL, Axis, Tri, Smartfren, Token PLN etc. ✅Fast ✅Trusted response Payment: 💳BRI ➡OVO 🆙Cek 📲Contact price below: 0821 5468 28 22 https://t.co/8BgzUPzYbE"
13,2021-02-26 22:07:48 SE Asia Standard Time,1120652550905028614,sriiwddd,Harga nya aja mahal jaringan kentang jugak oalah Telkomsel,His prices are just expensive network jugak potatoes Oalah Telkomsel
14,2021-02-26 21:23:45 SE Asia Standard Time,3316865436,yrr1995,"@RishaAtp Permisi, izin promosi yaa?  📲 OPEN ORDER Telkomsel, IM3 Ooredoo(Indosat) XL, Axis,Tri, Smartfren, Token PLN dll. ✅Fast respon ✅Trusted Payment: 💳BRI ➡OVO 🆙Cek harga dibawah 📲Contact: 0821 5468 28 22  https://t.co/r4G3aaEvay","@RishaAtp Excuse me, clearance sale yaa? OPEN ORDER 📲 Telkomsel, IM3 Ooredoo (Indosat) XL, Axis, Tri, Smartfren, Token PLN etc. ✅Fast ✅Trusted response Payment: 💳BRI ➡OVO 🆙Cek 📲Contact price below: 0821 5468 28 22 https://t.co/r4G3aaEvay"
15,2021-02-26 20:20:24 SE Asia Standard Time,1290651981741281281,unbanome08,AKUN 1 @ometvgdrive BAYAR SEKALI DIPAKAI SELAMANYA! HARGA 20K HARI INI OPEN 5 SLOT SAJA UNTUK BUKA BANNED(BLOKIR)+BANTU LOGIN+ TIPS BIAR DAPAT CEWEK MINAT? WA:082192917032  TRANSAKSI VIA PULSA TELKOMSEL/OVO/ATM #ometv #chatruletka #chatalternative #chatalternative #unbannedometv  https://t.co/2rNXvRy4wg,1 @ometvgdrive PAY ACCOUNTS USED ONCE FOREVER! 20K PRICE TODAY ONLY OPEN TO OPEN SLOT 5 BANNED (Block) + + TIPS BIAR LOGIN HELP GIRLS CAN INTEREST? WA: 082192917032 TRANSACTION VIA PULS TELKOMSEL / OVO / ATM #ometv #chatruletka #chatalternative #chatalternative #unbannedometv https://t.co/2rNXvRy4wg
16,2021-02-26 20:19:29 SE Asia Standard Time,1353915259732410369,unbannedome01,AKUN 1  @ometvgdrive PROMO TERBATAS UNTUK HARI INI  HARGA 20K SUDAH DAPAT BUKA BANNED(BLOKIR)+BANTU LOGIN+TIPS BIAR DAPAT CEWEK MINAT? WA : 082192917032  TRANSAKSI VIA PULSA TELKOMSEL/OVO/ATM #ometv  #chatalternative #camsurf #unbannedometv #unbanome #bukablokirome #chatruletka  https://t.co/8pltEqDRYy,ACCOUNTS 1 @ometvgdrive LIMITED PROMO PRICE FOR TODAY IS ABLE TO OPEN BANNED 20K (Block) + + TIPS BIAR LOGIN HELP GIRLS CAN INTEREST? WA: 082192917032 TRANSACTION VIA PULS TELKOMSEL / OVO / ATM #ometv #chatalternative #camsurf #unbannedometv #unbanome #bukablokirome #chatruletka https://t.co/8pltEqDRYy
17,2021-02-26 20:18:50 SE Asia Standard Time,1353140761521311744,unbanome16,AKUN 1 @ometvgdrive BAYAR SEKALI DIPAKAI SELAMANYA! HARGA 20K HARI INI OPEN 5 SLOT SAJA UNTUK BUKA BANNED(BLOKIR)+BANTU LOGIN+ TIPS BIAR DAPAT CEWEK MINAT? WA:082192917032  TRANSAKSI VIA PULSA TELKOMSEL/OVO/ATM #ometv #chatruletka #chatalternative #chatalternative #unbannedometv  https://t.co/XI3zlAhFp9,1 @ometvgdrive PAY ACCOUNTS USED ONCE FOREVER! 20K PRICE TODAY ONLY OPEN TO OPEN SLOT 5 BANNED (Block) + + TIPS BIAR LOGIN HELP GIRLS CAN INTEREST? WA: 082192917032 TRANSACTION VIA PULS TELKOMSEL / OVO / ATM #ometv #chatruletka #chatalternative #chatalternative #unbannedometv https://t.co/XI3zlAhFp9
18,2021-02-26 20:18:32 SE Asia Standard Time,1353914524919767041,unbanome,AKUN 1 @ometvgdrive HARI INI READY 5 SLOT SAJA UNTUK BUKA BANNED(BLOKIR)+BANTU LOGIN+ TIPS BIAR DAPAT CEWEK MINAT? WA AJA 082192917032  HARGA 20K DIPAKE SEPUASNYA BOS. TRANSAKSI VIA PULSA TELKOMSEL/OVO/ATM #ometv  #chatalternative #camsurf #unbannedometv #unbanome #bukablokirome  https://t.co/xy5fzNunN1,ACCOUNTS 1 @ometvgdrive TODAY ONLY READY TO OPEN SLOT 5 BANNED (Block) + + TIPS BIAR LOGIN HELP GIRLS CAN INTEREST? PRICE 082192917032 WA AJA using that as much BOS 20K. TRANSACTIONS VIA PULSE TELKOMSEL / OVO / ATM #ometv #chatalternative #camsurf #unbannedometv #unbanome #bukablokirome https://t.co/xy5fzNunN1
19,2021-02-26 20:11:27 SE Asia Standard Time,1080315738777300993,bangkaeee,"@Telkomsel Tolong dong, ga ada perbaikan nya ini jaringan untuk daerah sumatera utara, khusus nya MEDAN, udah berapa minggu ini ga ada lancarnya.   Minta bahas di DM, di read aja kagak.. Apa apaan. Hadeh.. Harga Paket klen mahal, kenapa jaringan nya kaya gini. Kompensasi pun ga ada.  https://t.co/stN7Y5Duq0","@Telkomsel Please, ga its repair network for the region of North Sumatra, his special MEDAN, already how this week ga smooth. Ask discussed in DM, in the read aja nope .. What the hell. Hadeh .. Price Discount clan expensive, rich gini why his network. Compensation was ga. https://t.co/stN7Y5Duq0"
20,2021-02-26 19:10:16 SE Asia Standard Time,3316865436,yrr1995,"@AriaMaruf Permisi, izin promosi yaa?  📲 OPEN ORDER Telkomsel, IM3 Ooredoo(Indosat) XL, Axis,Tri, Smartfren, Token PLN dll. ✅Fast respon ✅Trusted Payment: 💳BRI ➡OVO 🆙Cek harga dibawah 📲Contact: 0821 5468 28 22  https://t.co/heb6KwgoRf","@AriaMaruf Excuse me, clearance sale yaa? OPEN ORDER 📲 Telkomsel, IM3 Ooredoo (Indosat) XL, Axis, Tri, Smartfren, Token PLN etc. ✅Fast ✅Trusted response Payment: 💳BRI ➡OVO 🆙Cek 📲Contact price below: 0821 5468 28 22 https://t.co/heb6KwgoRf"
21,2021-02-26 19:04:27 SE Asia Standard Time,1247698525422366720,himestore,"@lastcnvs Bisa vipul telkomsel +5k, klo mau ga ganti akun bisa yang individual plan kaa 🥰  - Spotify 1-4,6 bulan - Netflix 1,3,6 bulan - Gdrive, ms office - Vidio prem, vypr - Bubble lysn  Bisa dilihat dulu, kali cocok🥰 Ada harga, ada kualitas‼️   https://t.co/6RJI0UYxnx","Can @lastcnvs vipul telkomsel + 5k, thx ga can change the individual account plan kaa 🥰 - Spotify 1 to 4.6 month - Netflix 1,3,6 months - GDrive, ms office - Video plum, vypr - Bubble lysn can be seen first, time cocok🥰 there is a price, there is quality! ️ https://t.co/6RJI0UYxnx"
22,2021-02-26 18:40:44 SE Asia Standard Time,3316865436,yrr1995,"@RishaAtp Permisi, izin promosi yaa?  📲 OPEN ORDER Telkomsel, IM3 Ooredoo(Indosat) XL, Axis,Tri, Smartfren, Token PLN dll. ✅Fast respon ✅Trusted Payment: 💳BRI ➡OVO 🆙Cek harga dibawah 📲Contact: 0821 5468 28 22  https://t.co/4lR7OLSaE8","@RishaAtp Excuse me, clearance sale yaa? OPEN ORDER 📲 Telkomsel, IM3 Ooredoo (Indosat) XL, Axis, Tri, Smartfren, Token PLN etc. ✅Fast ✅Trusted response Payment: 💳BRI ➡OVO 🆙Cek 📲Contact price below: 0821 5468 28 22 https://t.co/4lR7OLSaE8"
23,2021-02-26 17:57:35 SE Asia Standard Time,3316865436,yrr1995,"@sabitaurus Permisi, izin promosi yaa?  📲 OPEN ORDER Telkomsel, IM3 Ooredoo(Indosat) XL, Axis,Tri, Smartfren, Token PLN dll. ✅Fast respon ✅Trusted Payment: 💳BRI ➡OVO 🆙Cek harga dibawah 📲Contact: 0821 5468 28 22  https://t.co/WaUVMVLosh","@sabitaurus Excuse me, clearance sale yaa? OPEN ORDER 📲 Telkomsel, IM3 Ooredoo (Indosat) XL, Axis, Tri, Smartfren, Token PLN etc. ✅Fast ✅Trusted response Payment: 💳BRI ➡OVO 🆙Cek 📲Contact price below: 0821 5468 28 22 https://t.co/WaUVMVLosh"
24,2021-02-26 17:35:34 SE Asia Standard Time,3316865436,yrr1995,"@gheaurelia Permisi, izin promosi yaa?  📲 OPEN ORDER Telkomsel, IM3 Ooredoo(Indosat) XL, Axis,Tri, Smartfren, Token PLN dll. ✅Fast respon ✅Trusted Payment: 💳BRI ➡OVO 🆙Cek harga dibawah 📲Contact: 0821 5468 28 22  https://t.co/xv7z4e4JwK","@gheaurelia Excuse me, clearance sale yaa? OPEN ORDER 📲 Telkomsel, IM3 Ooredoo (Indosat) XL, Axis, Tri, Smartfren, Token PLN etc. ✅Fast ✅Trusted response Payment: 💳BRI ➡OVO 🆙Cek 📲Contact price below: 0821 5468 28 22 https://t.co/xv7z4e4JwK"
25,2021-02-26 15:19:20 SE Asia Standard Time,3316865436,yrr1995,"@mgrdwprtw Permisi, izin promosi yaa?  📲 OPEN ORDER Telkomsel, IM3 Ooredoo(Indosat) XL, Axis,Tri, Smartfren, Token PLN dll. ✅Fast respon ✅Trusted Payment: 💳BRI ➡OVO 🆙Cek harga dibawah 📲Contact: 0821 5468 28 22  https://t.co/q0kjKo8CkS","@mgrdwprtw Excuse me, clearance sale yaa? OPEN ORDER 📲 Telkomsel, IM3 Ooredoo (Indosat) XL, Axis, Tri, Smartfren, Token PLN etc. ✅Fast ✅Trusted response Payment: 💳BRI ➡OVO 🆙Cek 📲Contact price below: 0821 5468 28 22 https://t.co/q0kjKo8CkS"
26,2021-02-26 09:28:04 SE Asia Standard Time,1037185897052233728,fantasticbabe18,"Dear telkomsel &amp; kartuhalo, kamu gak malu ya harga dengan kualitas sinyal kamu tidak sesuai? Tolong di cek ya kualitas sinyal di matraman raya, saya sudah 4G tapi jaringan nya hilang timbul, ini kan di tengah kota kenapa bisa begini ya? :) thnks. @telkomsel @kartuHalo","Dear telkomsel & amp; kartuHALO, you're not embarrassed yes price with the quality of your signal does not match? Yes please check signal quality in matraman highway, I've 4G but its network is intermittent, it's in the city center yes why is this so? :) thanks. @telkomsel @kartuHalo"
27,2021-02-26 09:25:34 SE Asia Standard Time,1358589489573105664,henukanggry,"Harta, Tahta, KUOTA! Yayadong hari gini bahaya loh kalau sampai habis kuota! Ada yang baru nih #ComboSaktiUnlimited dari Telkomsel streaming film, scrolling sosmed, sampe teleponan selama 30 hari penuh, harga mulai dari 15ribu. #COMBO   https://t.co/1etcwsKmvl","Treasure, throne, QUOTA! Yayadong day gini loh danger that until the quota runs out! There is a new ya Telkomsel #ComboSaktiUnlimited of streaming movies, scrolling sosmed, until teleponan for 30 full days, starting from 15ribu. #COMBO https://t.co/1etcwsKmvl"
28,2021-02-26 07:02:35 SE Asia Standard Time,3316865436,yrr1995,"@KakekHalal @BennyHarmanID @PDemokrat Permisi, izin promosi yaa?  📲 OPEN ORDER Telkomsel, IM3 Ooredoo(Indosat) XL, Axis,Tri, Smartfren, Token PLN dll. ✅Fast respon ✅Trusted Payment: 💳BRI ➡OVO 🆙Cek harga dibawah 📲Contact: 0821 5468 28 22  https://t.co/a2IkxJ3C0N","@KakekHalal @BennyHarmanID @PDemokrat Excuse me, clearance sale yaa? OPEN ORDER 📲 Telkomsel, IM3 Ooredoo (Indosat) XL, Axis, Tri, Smartfren, Token PLN etc. ✅Fast ✅Trusted response Payment: 💳BRI ➡OVO 🆙Cek 📲Contact price below: 0821 5468 28 22 https://t.co/a2IkxJ3C0N"
29,2021-02-26 06:52:49 SE Asia Standard Time,3316865436,yrr1995,"@timelinetwiittr @Asteriaayuu Bener min. Mangkanya knp pesugihan slalu rame.😄   Permisi, izin promosi yaa?  📲 OPEN ORDER Telkomsel, IM3 Ooredoo(Indosat) XL, Axis,Tri, Smartfren, Token PLN dll. ✅Fast respon ✅Trusted Payment: 💳BRI ➡OVO 🆙Cek harga dibawah 📲Contact: 0821 5468 28 22  https://t.co/mamis3XUlO","Bener @Asteriaayuu @timelinetwiittr min. Mangkanya knp pesugihan pobud rame.😄 Excuse me, clearance sale yaa? OPEN ORDER 📲 Telkomsel, IM3 Ooredoo (Indosat) XL, Axis, Tri, Smartfren, Token PLN etc. ✅Fast ✅Trusted response Payment: 💳BRI ➡OVO 🆙Cek 📲Contact price below: 0821 5468 28 22 https://t.co/mamis3XUlO"
30,2021-02-26 06:36:35 SE Asia Standard Time,1267147855728242689,ctofficialstore,PAKET KUOTA TELKOMSEL HARGA TERJANGKAU. DM UNTUK PRICELIST!,QUOTAS PACKAGE TELKOMSEL AFFORDABLE PRICE. DM FOR pricelist!
31,2021-02-25 22:28:11 SE Asia Standard Time,1251161222558265344,eajmoeb,"Telkomsel tolong lah harga mahal masa twitter aja nge lag, begimana mau main game //  mending 3 🙃","Telkomsel please lah expensive prices twitter aja nge lag period, begimana want to play the game // mending 3 🙃"
32,2021-02-25 21:46:18 SE Asia Standard Time,3316865436,yrr1995,"@ayuumm05 Permisi, izin promosi yaa?  📲 OPEN ORDER Telkomsel, IM3 Ooredoo(Indosat) XL, Axis,Tri, Smartfren, Token PLN dll. ✅Fast respon ✅Trusted Payment: 💳BRI ➡OVO 🆙Cek harga dibawah 📲Contact: 0821 5468 28 22  https://t.co/NiIAjR6FP0","@ Ayuumm05 Excuse me, clearance sale yaa? OPEN ORDER 📲 Telkomsel, IM3 Ooredoo (Indosat) XL, Axis, Tri, Smartfren, Token PLN etc. ✅Fast ✅Trusted response Payment: 💳BRI ➡OVO 🆙Cek 📲Contact price below: 0821 5468 28 22 https://t.co/NiIAjR6FP0"
33,2021-02-25 21:45:46 SE Asia Standard Time,3316865436,yrr1995,"@panggilajaayu Permisi, izin promosi yaa?  📲 OPEN ORDER Telkomsel, IM3 Ooredoo(Indosat) XL, Axis,Tri, Smartfren, Token PLN dll. ✅Fast respon ✅Trusted Payment: 💳BRI ➡OVO 🆙Cek harga dibawah 📲Contact: 0821 5468 28 22  https://t.co/ikU4p1zQIX","@panggilajaayu Excuse me, clearance sale yaa? OPEN ORDER 📲 Telkomsel, IM3 Ooredoo (Indosat) XL, Axis, Tri, Smartfren, Token PLN etc. ✅Fast ✅Trusted response Payment: 💳BRI ➡OVO 🆙Cek 📲Contact price below: 0821 5468 28 22 https://t.co/ikU4p1zQIX"
34,2021-02-25 21:45:12 SE Asia Standard Time,3316865436,yrr1995,"@shorthairedgurl Permisi, izin promosi yaa?  📲 OPEN ORDER Telkomsel, IM3 Ooredoo(Indosat) XL, Axis,Tri, Smartfren, Token PLN dll. ✅Fast respon ✅Trusted Payment: 💳BRI ➡OVO 🆙Cek harga dibawah 📲Contact: 0821 5468 28 22  https://t.co/usczqOhzay","@shorthairedgurl Excuse me, clearance sale yaa? OPEN ORDER 📲 Telkomsel, IM3 Ooredoo (Indosat) XL, Axis, Tri, Smartfren, Token PLN etc. ✅Fast ✅Trusted response Payment: 💳BRI ➡OVO 🆙Cek 📲Contact price below: 0821 5468 28 22 https://t.co/usczqOhzay"
35,2021-02-25 21:44:00 SE Asia Standard Time,3316865436,yrr1995,"@puadamrizall Permisi, izin promosi yaa?  📲 OPEN ORDER Telkomsel, IM3 Ooredoo(Indosat) XL, Axis,Tri, Smartfren, Token PLN dll. ✅Fast respon ✅Trusted Payment: 💳BRI ➡OVO 🆙Cek harga dibawah 📲Contact: 0821 5468 28 22  https://t.co/KSuFIuqiyj","@puadamrizall Excuse me, clearance sale yaa? OPEN ORDER 📲 Telkomsel, IM3 Ooredoo (Indosat) XL, Axis, Tri, Smartfren, Token PLN etc. ✅Fast ✅Trusted response Payment: 💳BRI ➡OVO 🆙Cek 📲Contact price below: 0821 5468 28 22 https://t.co/KSuFIuqiyj"
36,2021-02-25 18:57:35 SE Asia Standard Time,3316865436,yrr1995,"@AnjasErlangga__ Permisi, izin promosi yaa?  📲 OPEN ORDER Telkomsel, IM3 Ooredoo(Indosat) XL, Axis,Tri, Smartfren, Token PLN dll. ✅Fast respon ✅Trusted Payment: 💳BRI ➡OVO 🆙Cek harga dibawah 📲Contact: 0821 5468 28 22  https://t.co/TiPgjPomZI","@AnjasErlangga__ Excuse me, clearance sale yaa? OPEN ORDER 📲 Telkomsel, IM3 Ooredoo (Indosat) XL, Axis, Tri, Smartfren, Token PLN etc. ✅Fast ✅Trusted response Payment: 💳BRI ➡OVO 🆙Cek 📲Contact price below: 0821 5468 28 22 https://t.co/TiPgjPomZI"
37,2021-02-25 18:56:55 SE Asia Standard Time,3316865436,yrr1995,"@txtdrkaumbengek Permisi, izin promosi yaa?  📲 OPEN ORDER Telkomsel, IM3 Ooredoo(Indosat) XL, Axis,Tri, Smartfren, Token PLN dll. ✅Fast respon ✅Trusted Payment: 💳BRI ➡OVO 🆙Cek harga dibawah 📲Contact: 0821 5468 28 22  https://t.co/RgHKQa8ZFx","@txtdrkaumbengek Excuse me, clearance sale yaa? OPEN ORDER 📲 Telkomsel, IM3 Ooredoo (Indosat) XL, Axis, Tri, Smartfren, Token PLN etc. ✅Fast ✅Trusted response Payment: 💳BRI ➡OVO 🆙Cek 📲Contact price below: 0821 5468 28 22 https://t.co/RgHKQa8ZFx"
38,2021-02-25 17:57:33 SE Asia Standard Time,107895396,tyasrubiyono,@kymikhy @Telkomsel Lha mbuh ki Neng grup kepegawaian ne konco ku kondo ne telkomsel yoo gak iso  Gimana @Telkomsel kamu menawarkan harga premium dgn layanan yg premium tp masa akses absen online aja gak bisa??,LHA @Telkomsel @kymikhy mbuh ki Neng staffing group Vacation ne ne my buddy telkomsel yoo iso How @Telkomsel not you offer a premium price with a premium service which absent online access tp period could not wrote ??
39,2021-02-25 17:37:47 SE Asia Standard Time,858156482918981632,vembifernando,"@ahduy1908 Ciek indie crot sampai situ baru.. 😅  Klo utk pemakaian pribadi, dengan harga 300rb, saran wak bali paket telkomsel unlimited FUP se dulu..","@ Ahduy1908 Ciek indie Crot to new situ .. 😅 Klo For personal use, with the price 300rb, advice wak bali telkomsel package unlimited FUP first se .."
40,2021-02-25 16:40:13 SE Asia Standard Time,1039337993457131520,deddyir16328604,"@Telkomsel Semua komen bilang telkomsel Parah, gak satupun yg di tanggapi, provider ecek2, kelas teri, harga paling mahal, tp kualitas paling parah","@Telkomsel All comments say telkomsel Worse, not a single antecedent respond, the provider ecek2, petty, the price of the most expensive, the most severe quality tp"
41,2021-02-25 15:50:32 SE Asia Standard Time,3316865436,yrr1995,"@inirinaaaa Permisi, izin promosi yaa?  📲 OPEN ORDER Telkomsel, IM3 Ooredoo(Indosat) XL, Axis,Tri, Smartfren, Token PLN dll. ✅Fast respon ✅Trusted Payment: 💳BRI ➡OVO 🆙Cek harga dibawah 📲Contact: 0821 5468 28 22  https://t.co/J5i9WHWFSC","@inirinaaaa Excuse me, clearance sale yaa? OPEN ORDER 📲 Telkomsel, IM3 Ooredoo (Indosat) XL, Axis, Tri, Smartfren, Token PLN etc. ✅Fast ✅Trusted response Payment: 💳BRI ➡OVO 🆙Cek 📲Contact price below: 0821 5468 28 22 https://t.co/J5i9WHWFSC"
42,2021-02-25 15:35:58 SE Asia Standard Time,747299473114595329,muhammad_joni26,"@Telkomsel Yuk telkomsel diperbaiki lagi jaringannya,, jadi sangat terganggu saat harus kuliah online,,, liat aja keceparan telkomsel didaerahku hmm padahal harga paketnya paling MAHAL tapi pelayanannya mengecewakan  https://t.co/GszElqzLkC","Yuk @Telkomsel irreparably Telkomsel network ,, so very disturbed when an online college ,,, must watch as keceparan telkomsel didaerahku hmm whereas most EXPENSIVE package price but the service was disappointing https://t.co/GszElqzLkC"
43,2021-02-25 15:20:41 SE Asia Standard Time,1290651981741281281,unbanome08,AKUN 1 @ometvgdrive HARI INI OPEN 4 SLOT SAJA UNTUK BUKA BANNED(BLOKIR)+BANTU LOGIN+ TIPS BIAR DAPAT CEWEK MINAT? WA AJA 082192917032  HARGA 20K DIPAKE SEPUASNYA BOS. TRANSAKSI VIA PULSA TELKOMSEL/OVO/ATM #ometv  #chatalternative #camsurf #unbannedometv #unbanome #bukablokirome  https://t.co/vlewcZMMD7,ACCOUNTS 1 @ometvgdrive TODAY ONLY OPEN 4 SLOT TO OPEN BANNED (Block) + + TIPS BIAR LOGIN HELP GIRLS CAN INTEREST? PRICE 082192917032 WA AJA using that as much BOS 20K. TRANSACTIONS VIA PULSE TELKOMSEL / OVO / ATM #ometv #chatalternative #camsurf #unbannedometv #unbanome #bukablokirome https://t.co/vlewcZMMD7
44,2021-02-25 15:01:34 SE Asia Standard Time,2544117577,opickabu542,@Telkomsel ini emang paling juara kalo soal harga paket mahal dan jaringan internet lemot,Emang most champions @Telkomsel matter if the package price is expensive and slow internet network
45,2021-02-25 14:58:14 SE Asia Standard Time,1584525715,loop_id,"Ayo terus rajin belajar biar kamu makin siap menghadapi ujian dadakan, Loopers 📕  Mau makin maksimal belajarnya? Pake aja Kuota Belajar dari Telkomsel. Dengan jaringannya yang 4G LTE dan harga paketnya cuma Rp10 aja kamu bisa dapetin 10GB Kuota Belajar. Terjangkau banget kan?  https://t.co/BwrSaXBUFG","Let's continue diligently studied let you getting ready to face the test of a sudden, Loopers 📕 Mau maximum learning more? Pake aja Quota Learning from Telkomsel. With the 4G LTE network and the package price of only Rp10 you just can dapetin Learning 10GB quota. Affordable really right? https://t.co/BwrSaXBUFG"
46,2021-02-25 12:15:14 SE Asia Standard Time,74085638,jeffgeriek,@subtanyarl Telkomsel yg promo itu gak sebagus yg harga normal. Pasti gak stabil koneksinya,@subtanyarl Telkomsel promo which was not as good as that of normal price. Certainly not stable connections
